customer_id,company_name,industry,employee_count,plan_tier,mrr_usd,signup_date,last_login_days_ago,features_used_30d,support_tickets_90d,csm_assigned
c_15694,Vertex Partners,freight logistics,3248,starter plan,237,2025-05-06,2,12,1,
c_89943,Cascade Ventures,tech / software,,professional,1215,2024-10-04,13,2,0,Kevin H.
c_42389,Helix LLC,health services,59,Starter,235,2024-08-25,7,2,1,
c_37248,Acme Group,logistics/transportation,21,enterprise,2435,2023-11-04,8,6,2,James T.
c_82278,Edge Advisors,manufacturing,7024,business,2266,2023-12-23,37,5,0,David C.
c_59262,Vertex Technologies,Technology,113,starter,213,2025-04-08,3,9,1,Anna P.
c_82723,Maple Labs,B2B Software,31,STARTER,195,2023-11-22,10,3,0,
c_32290,Ionic Advisors,media,133,professional,1172,2024-07-07,0,1,0,Priya M.
c_32349,Prime Services,HR tech,103,Business ,1600,2023-12-17,40,5,1,Rachel S.
c_98844,Iron Corp,consulting,503,STARTER,364,2025-03-20,19,3,0,Priya M.
c_30888,Stone Ventures,retail,44,professional,861,2025-01-23,31,7,0,David C.
c_88854,Cedar Ventures,SaaS,49,BUSINESS,2401,2025-01-17,7,10,4,Priya M.
c_39835,Cedar Co,HealthTech,68,business,1923,2025-01-10,47,5,0,Sophia B.
c_48005,Zenith Consulting,SaaS,761,pro,691,2024-05-09,48,5,1,Sarah K.
c_12842,Acme Systems,non-profit,33,starter plan,221,2024-07-07,9,4,0,
c_45477,Forge Group,retail & ecommerce,865,pro,1178,2023-11-08,14,11,1,Carlos R.
c_74814,Solid Services,Technology,397,Starter ,261,2024-10-05,51,4,1,
c_88284,Noble Systems,legal services,1428,Pro ,499,2025-01-06,7,1,0,Kevin H.
c_94415,Vertex LLC,FINANCE,283,starter plan,176,2024-01-05,51,0,1,Rachel S.
c_91040,Blue Services,retail,10,Pro ,499,2023-10-05,25,0,5,James T.
c_44099,Forge Ventures,logistics / 3pl,100,Pro ,500,2024-12-15,46,2,6,James T.
c_68354,Kinetic Consulting,online retail,29,STARTER,331,2024-09-27,39,3,0,
c_43768,Vertex Ventures,RETAIL,905,professional,1201,2024-04-06,10,13,2,Rachel S.
c_28298,Stratum Co,retail & ecommerce,28,BUSINESS,2358,2024-02-21,18,10,5,Sophia B.
c_72156,Vector Inc,software development,108,PRO,499,2023-08-20,8,6,0,Sophia B.
c_54528,Trek Dynamics,SaaS / Tech,66,starter,306,2024-09-18,19,2,0,
c_28567,Core Dynamics,enterprise software,281,PRO,525,2025-03-26,8,7,3,Carlos R.
c_79843,Prime Group,TECH,586,starter,215,2024-06-07,7,7,0,James T.
c_52079,Global Technologies,Software,151,Starter,297,2023-12-04,0,10,2,David C.
c_60190,Topo Labs,wealth management,,Starter,309,2024-03-16,6,7,0,Priya M.
c_12058,Ionic Co,Logistics,,STARTER,494,2024-04-27,5,7,1,
c_93699,Jade Labs,non-profit,230,starter,205,2024-05-29,56,0,0,Kevin H.
c_59848,Valor Technologies,SaaS,150,PRO,1043,2024-11-03,18,1,5,Sophia B.
c_51002,Acme Labs,freight logistics,11,Starter,291,2023-11-02,59,6,1,
c_45557,Apex Co,logistics / 3pl,6183,Starter,198,2023-11-07,24,6,0,
c_22666,Stratum Advisors,enterprise software,1372,Pro,906,2023-08-23,27,3,6,Kevin H.
c_55430,Solid Ventures,Retail,40,starter plan,250,2025-02-27,36,3,2,
c_52060,Slate Systems,Finance,104,starter,240,2024-07-30,7,12,1,James T.
c_17663,Verde Group,Software,2618,Business,2995,2025-01-28,37,3,5,David C.
c_28200,Ardent Services,Logistics & 3PL,665,enterprise,1952,2022-12-19,12,12,2,Sophia B.
c_66348,Forge Partners,logistics / 3pl,6,Pro ,1021,2024-01-17,37,6,5,Carlos R.
c_12378,Quorum LLC,Retail / Ecommerce,325,STARTER,218,2025-01-02,36,2,2,
c_64100,Nexus Corp,B2B Software,58,Pro ,499,2023-09-23,43,1,5,Carlos R.
c_50300,Forge Corp,3pl / warehousing,29,starter,330,2023-10-10,7,6,0,Mei L.
c_15938,Ridge Solutions,tech / software,60,Pro,926,2023-06-02,38,5,6,Kevin H.
c_14304,Terra Partners,fintech,,Pro,965,2023-10-12,54,6,1,Sophia B.
c_68186,Noble Technologies,Tech,15,Starter,50,2025-05-01,4,9,1,
c_40316,Quorum Solutions,Tech,1533,Business,1838,2024-07-31,4,12,0,David C.
c_66010,River Co,D2C ecommerce,,starter,287,2023-11-01,7,4,1,
c_45505,Vector Technologies,ecommerce,437,starter plan,309,2024-05-25,7,8,2,James T.
c_47111,Swift Advisors,software,,Pro,975,2024-03-10,12,12,4,Tom W.
c_11104,Mesa Consulting,health services,1391,Pro,1402,2025-02-10,43,5,8,Mei L.
c_60055,Valor Systems,FinTech,38,Pro,830,2024-05-28,43,9,1,Carlos R.
c_89298,Harbor Co,LOGISTICS,113,enterprise,2297,2023-09-09,10,6,2,David C.
c_46007,Prime Advisors,LOGISTICS,52,starter plan,397,2025-03-22,14,7,0,
c_27714,Bright Co,Software,468,starter plan,177,2025-04-26,4,11,0,Kevin H.
c_84048,Cedar Systems,SaaS / Tech,102,Pro ,852,2024-06-08,45,4,5,Tom W.
c_85179,Cedar Corp,tech / software,4035,starter,188,2024-07-19,37,0,0,
c_59936,Ionic Dynamics,wealth management,286,starter,196,2024-09-09,49,1,0,Tom W.
c_54635,Maple Systems,non-profit,820,Pro,804,2024-11-02,1,10,2,Sophia B.
